node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type
10093510,BERTHA ENTERPRISES LIMITED,BERTHA ENTERPRISES LIMITED,,BVI,British Virgin Islands,,OSIRIS MANAGEMENT SERVICES LIMITED P O BOX 437 KENSINGTON CHAMBERS 46-50 KENSINGTON PLACE ST HELIER JERSEY JE4 0ZE,550870,03-OCT-2002,,,,Active,Mossack Fonseca,516086,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10094056,MILBORNE COMMERCIAL SERVICES LIMITED,MILBORNE COMMERCIAL SERVICES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541988,15-MAR-2001,06-NOV-2008,31-OCT-2008,,Defaulted,Mossack Fonseca,436354,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10094885,WAND PROPERTIES LIMITED,WAND PROPERTIES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,548708,31-MAY-2002,,,,Active,Mossack Fonseca,498308,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10096072,BEECHVIEW PROPERTIES LIMITED,BEECHVIEW PROPERTIES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,553344,25-FEB-2003,,,,Active,Mossack Fonseca,534981,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10096949,RAYSDEN INTERNATIONAL LIMITED,RAYSDEN INTERNATIONAL LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,551275,04-NOV-2002,,,,Active,Mossack Fonseca,519604,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10097498,ALPORT LIMITED,ALPORT LIMITED,,BVI,British Virgin Islands,,ORBIS ADVISORY PTE LTD. 8 TEMASEK BOULEVARD #32-01 SUNTEC TOWER 3 SINGAPORE 038988,544516,23-AUG-2001,,,,Active,Mossack Fonseca,459639,SGP,Singapore,Panama Papers,The Panama Papers data is current through 2015,,company
10097641,NILE OVERSEAS FINANCE & DEVELOPMENT LIMITED,NILE OVERSEAS FINANCE & DEVELOPMENT LIMITED,,BVI,British Virgin Islands,,"MINERVA FIDUCIARY SERVICES (MAURITIUS) LIMITED SUITE 2004, LEVEL 2 ALEXANDER HOUSE 35 CYBERCITY EBENE MAURITIUS PORT LOUIS MAURITIUS",547426,14-MAR-2002,,,,Active,Mossack Fonseca,486974,MUS,Mauritius,Panama Papers,The Panama Papers data is current through 2015,,company
10098284,COEL ENTERPRISES LIMITED,COEL ENTERPRISES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,555118,06-JUN-2003,01-NOV-2006,31-OCT-2006,,Defaulted,Mossack Fonseca,547441,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10099063,GREENWAY ESTATES LIMITED,GREENWAY ESTATES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,555875,18-JUL-2003,03-SEP-2013,30-APR-2014,,Dissolved,Mossack Fonseca,553029,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10099709,GOLFSTREAM SHIPPING LIMITED,GOLFSTREAM SHIPPING LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,547703,08-APR-2002,19-APR-2007,31-OCT-2007,,Dissolved,Mossack Fonseca,490553,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
