source_id,source_type,target_id,target_type,relationship,link,status,start_date,end_date,source_leak
11011597,intermediary,10104967,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10108611,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10103058,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10106155,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10105785,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10111326,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10108842,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10108855,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10110764,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10110970,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10114012,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10112944,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10114521,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10116732,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10120492,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10120598,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10122953,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10124860,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10139061,company,intermediary_of,intermediary of,,,,Panama Papers
11002578,intermediary,10155456,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10169708,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10175113,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10175155,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10177338,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10174136,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10177398,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10179416,company,intermediary_of,intermediary of,,,,Panama Papers
11011774,intermediary,10179083,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10178871,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10178327,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10181795,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10181424,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10182721,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10182411,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10183256,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10185311,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10199651,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10198707,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10199125,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10198976,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10201600,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10204408,company,intermediary_of,intermediary of,,,,Panama Papers
