source_id,source_type,target_id,target_type,relationship,link,status,start_date,end_date,source_leak
12176796,person,10101194,company,officer_of,shareholder of,,07-JUN-2005,,Panama Papers
12176796,person,10101194,company,officer_of,shareholder of,,18-SEP-2002,,Panama Papers
12176796,person,10103058,company,officer_of,shareholder of,,13-JUN-2003,,Panama Papers
12176796,person,10098284,company,officer_of,shareholder of,,27-JUN-2003,,Panama Papers
12176796,person,10099063,company,officer_of,shareholder of,,15-SEP-2003,,Panama Papers
12176796,person,10099889,company,officer_of,shareholder of,,16-OCT-2003,,Panama Papers
12176796,person,10105785,company,officer_of,shareholder of,,10-NOV-2003,,Panama Papers
12176796,person,10100117,company,officer_of,shareholder of,,24-MAR-2005,,Panama Papers
12176796,person,10200239,company,officer_of,shareholder of,,25-NOV-2003,,Panama Papers
12176796,person,10104202,company,officer_of,shareholder of,,21-NOV-2003,,Panama Papers
12176796,person,10101693,company,officer_of,shareholder of,,12-DEC-2003,,Panama Papers
12176796,person,10200324,company,officer_of,shareholder of,,15-DEC-2003,24-MAY-2006,Panama Papers
12176796,person,10200324,company,officer_of,shareholder of,,18-MAY-2004,24-MAY-2006,Panama Papers
12176796,person,10200751,company,officer_of,shareholder of,,02-FEB-2004,,Panama Papers
12114025,person,10108842,company,officer_of,shareholder of,,16-FEB-2010,15-JUN-2011,Panama Papers
12114024,person,10108842,company,officer_of,shareholder of,,16-FEB-2010,15-JUN-2011,Panama Papers
12176796,person,10106473,company,officer_of,shareholder of,,07-APR-2004,,Panama Papers
12176796,person,10204408,company,officer_of,shareholder of,,25-JUN-2004,,Panama Papers
12176796,person,10106155,company,officer_of,shareholder of,,04-NOV-2004,,Panama Papers
12176796,person,10117137,company,officer_of,shareholder of,,09-JUN-2005,17-AUG-2006,Panama Papers
12176796,person,10110970,company,officer_of,shareholder of,,03-OCT-2005,03-JUL-2006,Panama Papers
12176796,person,10116732,company,officer_of,shareholder of,,05-APR-2004,,Panama Papers
12176796,person,10120492,company,officer_of,shareholder of,,27-JUN-2005,,Panama Papers
12176796,person,10114012,company,officer_of,shareholder of,,04-DEC-2001,,Panama Papers
12176796,person,10206129,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10117486,company,officer_of,shareholder of,,24-JAN-2006,16-NOV-2015,Panama Papers
12176796,person,10124860,company,officer_of,shareholder of,,21-NOV-2006,,Panama Papers
12120458,person,10210092,company,officer_of,shareholder of,,24-APR-2007,,Panama Papers
12176796,person,10175113,company,officer_of,shareholder of,,16-MAR-1994,,Panama Papers
12176796,person,10182721,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10175730,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10181795,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10174136,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10211538,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10181424,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10182411,company,officer_of,shareholder of,,17-JUL-2003,,Panama Papers
12176796,person,10179416,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12099181,person,10204952,company,officer_of,shareholder of,,18-SEP-2013,,Panama Papers
12188672,person,10204952,company,officer_of,shareholder of,,25-JUN-2012,,Panama Papers
12191504,person,10204952,company,officer_of,shareholder of,,06-AUG-2012,,Panama Papers
12136589,person,10204952,company,officer_of,shareholder of,,20-NOV-2006,,Panama Papers
12176796,person,10183256,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12114025,person,10139061,company,officer_of,shareholder of,,28-FEB-2011,,Panama Papers
12114024,person,10139061,company,officer_of,shareholder of,,28-FEB-2011,,Panama Papers
12176796,person,10180417,company,officer_of,shareholder of,,28-JUN-2002,20-DEC-2007,Panama Papers
12176796,person,10175686,company,officer_of,shareholder of,,31-MAY-2001,24-MAY-2013,Panama Papers
12176796,person,10127477,company,officer_of,shareholder of,,31-MAR-2006,17-JUL-2012,Panama Papers
12176796,person,10202867,company,officer_of,shareholder of,,02-JUN-2005,17-MAR-2006,Panama Papers
12176796,person,10202867,company,officer_of,shareholder of,,21-MAR-2006,15-APR-2014,Panama Papers
12176796,person,10201600,company,officer_of,shareholder of,,15-DEC-2004,,Panama Papers
12176796,person,10108611,company,officer_of,shareholder of,,22-DEC-2004,,Panama Papers
12176796,person,10100765,company,officer_of,shareholder of,,25-NOV-2002,,Panama Papers
12114025,person,10093510,company,officer_of,shareholder of,,15-NOV-2002,08-AUG-2011,Panama Papers
12114024,person,10093510,company,officer_of,shareholder of,,15-NOV-2002,08-AUG-2011,Panama Papers
12176796,person,10105412,company,officer_of,shareholder of,,08-OCT-2003,03-OCT-2014,Panama Papers
12176796,person,10089022,company,officer_of,shareholder of,,21-MAY-2001,,Panama Papers
12176796,person,10202503,company,officer_of,shareholder of,,26-MAR-2001,18-JAN-2012,Panama Papers
12176796,person,10089278,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,06-MAR-2002,10-OCT-2003,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,09-NOV-2001,06-MAR-2002,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,28-FEB-2002,06-MAR-2002,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,10-OCT-2003,,Panama Papers
12176796,person,10097498,company,officer_of,shareholder of,,05-MAR-2002,02-SEP-2011,Panama Papers
12114024,person,10064597,company,officer_of,shareholder of,,24-MAR-2010,,Panama Papers
12114025,person,10064597,company,officer_of,shareholder of,,24-MAR-2010,,Panama Papers
12176796,person,10063744,company,officer_of,shareholder of,,19-MAY-2005,,Panama Papers
12176796,person,10070798,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10111326,company,officer_of,shareholder of,,15-DEC-2003,21-SEP-2010,Panama Papers
12114025,person,10148244,company,officer_of,shareholder of,,11-JUN-2010,16-DEC-2014,Panama Papers
